RSPF_ACADEMIC_YEAR	RSPF_DIST_NUMBER	RSPF_DISTRICT_NAME	RSPF_SCHOOL_NUMBER	RSPF_SCHOOL_NAME	RSPF_EMH_CODE	RSPF_INCLUDED_EMH_FOR_A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	180	ADAMS-ARAPAHOE 28J	9125	VISTA PEAK 9-12 PREPARATORY	H	H																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	180	ADAMS-ARAPAHOE 28J	9125	VISTA PEAK 9-12 PREPARATORY	A	H																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	180	ADAMS-ARAPAHOE 28J	9140	VIRGINIA COURT ELEMENTARY SCHOOL	E	E																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	180	ADAMS-ARAPAHOE 28J	9140	VIRGINIA COURT ELEMENTARY SCHOOL	A	E																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	180	ADAMS-ARAPAHOE 28J	9396	AURORA WEST COLLEGE PREPARATORY ACADEMY	M	MH																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	180	ADAMS-ARAPAHOE 28J	9396	AURORA WEST COLLEGE PREPARATORY ACADEMY	H	MH																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	180	ADAMS-ARAPAHOE 28J	9396	AURORA WEST COLLEGE PREPARATORY ACADEMY	A	MH																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	180	ADAMS-ARAPAHOE 28J	9514	WHEELING ELEMENTARY SCHOOL	A	E																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	180	ADAMS-ARAPAHOE 28J	9514	WHEELING ELEMENTARY SCHOOL	E	E																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	180	ADAMS-ARAPAHOE 28J	9756	YALE ELEMENTARY SCHOOL	E	E																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	180	ADAMS-ARAPAHOE 28J	9756	YALE ELEMENTARY SCHOOL	A	E																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	190	BYERS 32J	1168	BYERS ELEMENTARY SCHOOL	A	E																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	190	BYERS 32J	1168	BYERS ELEMENTARY SCHOOL	E	E																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	190	BYERS 32J	1176	BYERS JUNIOR-SENIOR HIGH SCHOOL	H	MH																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	190	BYERS 32J	1176	BYERS JUNIOR-SENIOR HIGH SCHOOL	M	MH																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	190	BYERS 32J	1176	BYERS JUNIOR-SENIOR HIGH SCHOOL	A	MH																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	220	ARCHULETA COUNTY 50 JT	64	ARCHULETA COUNTY HIGH SCHOOL	H	H																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	220	ARCHULETA COUNTY 50 JT	64	ARCHULETA COUNTY HIGH SCHOOL	A	H																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	220	ARCHULETA COUNTY 50 JT	6652	PAGOSA SPRINGS ELEMENTARY SCHOOL	A	E																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	220	ARCHULETA COUNTY 50 JT	6652	PAGOSA SPRINGS ELEMENTARY SCHOOL	E	E																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	220	ARCHULETA COUNTY 50 JT	6657	PAGOSA SPRINGS MIDDLE SCHOOL	A	EM																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	220	ARCHULETA COUNTY 50 JT	6657	PAGOSA SPRINGS MIDDLE SCHOOL	E	EM																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	220	ARCHULETA COUNTY 50 JT	6657	PAGOSA SPRINGS MIDDLE SCHOOL	M	EM																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	220	ARCHULETA COUNTY 50 JT	6658	PAGOSA SPRINGS HIGH SCHOOL	A	H																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	220	ARCHULETA COUNTY 50 JT	6658	PAGOSA SPRINGS HIGH SCHOOL	H	H																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	230	WALSH RE-1	9222	WALSH ELEMENTARY SCHOOL	A	E																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	230	WALSH RE-1	9222	WALSH ELEMENTARY SCHOOL	E	E																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	230	WALSH RE-1	9226	WALSH HIGH SCHOOL	H	MH																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	230	WALSH RE-1	9226	WALSH HIGH SCHOOL	A	MH																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	230	WALSH RE-1	9226	WALSH HIGH SCHOOL	M	MH																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	240	PRITCHETT RE-3	7174	PRITCHETT ELEMENTARY SCHOOL	E	E																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	240	PRITCHETT RE-3	7174	PRITCHETT ELEMENTARY SCHOOL	A	E																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	240	PRITCHETT RE-3	7176	PRITCHETT MIDDLE SCHOOL	M	M																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	240	PRITCHETT RE-3	7176	PRITCHETT MIDDLE SCHOOL	A	M																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	240	PRITCHETT RE-3	7180	PRITCHETT HIGH SCHOOL	H	H																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	240	PRITCHETT RE-3	7180	PRITCHETT HIGH SCHOOL	A	H																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	250	SPRINGFIELD RE-4	8160	SPRINGFIELD ELEMENTARY SCHOOL	A	E																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	250	SPRINGFIELD RE-4	8160	SPRINGFIELD ELEMENTARY SCHOOL	E	E																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	250	SPRINGFIELD RE-4	8164	SPRINGFIELD JUNIOR HIGH SCHOOL	A	M																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	250	SPRINGFIELD RE-4	8164	SPRINGFIELD JUNIOR HIGH SCHOOL	M	M																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	250	SPRINGFIELD RE-4	8168	SPRINGFIELD HIGH SCHOOL	H	H																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	250	SPRINGFIELD RE-4	8168	SPRINGFIELD HIGH SCHOOL	A	H																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	260	VILAS RE-5	9085	V.I.L.A.S. ONLINE SCHOOL	E	EMH																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	260	VILAS RE-5	9085	V.I.L.A.S. ONLINE SCHOOL	H	EMH																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	260	VILAS RE-5	9085	V.I.L.A.S. ONLINE SCHOOL	M	EMH																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	260	VILAS RE-5	9085	V.I.L.A.S. ONLINE SCHOOL	A	EMH																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	260	VILAS RE-5	9090	VILAS ELEMENTARY SCHOOL	E	E																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	260	VILAS RE-5	9090	VILAS ELEMENTARY SCHOOL	A	E																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	260	VILAS RE-5	9100	VILAS UNDIVIDED HIGH SCHOOL	H	MH																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	260	VILAS RE-5	9100	VILAS UNDIVIDED HIGH SCHOOL	A	MH																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	260	VILAS RE-5	9100	VILAS UNDIVIDED HIGH SCHOOL	M	MH																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	270	CAMPO RE-6	1248	CAMPO ELEMENTARY SCHOOL	A	E																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	270	CAMPO RE-6	1248	CAMPO ELEMENTARY SCHOOL	E	E																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	270	CAMPO RE-6	1252	CAMPO UNDIVIDED HIGH SCHOOL	M	MH																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	270	CAMPO RE-6	1252	CAMPO UNDIVIDED HIGH SCHOOL	A	MH																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	270	CAMPO RE-6	1252	CAMPO UNDIVIDED HIGH SCHOOL	H	MH																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	290	LAS ANIMAS RE-1	1812	LAS ANIMAS ELEMENTARY SCHOOL	A	E																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	290	LAS ANIMAS RE-1	1812	LAS ANIMAS ELEMENTARY SCHOOL	E	E																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	290	LAS ANIMAS RE-1	4986	LAS ANIMAS MIDDLE SCHOOL	M	M																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	290	LAS ANIMAS RE-1	4986	LAS ANIMAS MIDDLE SCHOOL	A	M																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	290	LAS ANIMAS RE-1	4990	LAS ANIMAS HIGH SCHOOL	H	H																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	290	LAS ANIMAS RE-1	4990	LAS ANIMAS HIGH SCHOOL	A	H																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	310	MC CLAVE RE-2	5666	MC CLAVE ELEMENTARY SCHOOL	E	E																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	310	MC CLAVE RE-2	5666	MC CLAVE ELEMENTARY SCHOOL	A	E																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	310	MC CLAVE RE-2	5670	MC CLAVE UNDIVIDED HIGH SCHOOL	H	MH																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
