RSPF_ACADEMIC_YEAR	RSPF_DIST_NUMBER	RSPF_DISTRICT_NAME	RSPF_SCHOOL_NUMBER	RSPF_SCHOOL_NAME	RSPF_EMH_CODE	RSPF_INCLUDED_EMH_FOR_A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	10	MAPLETON 1	4699	THE NEW AMERICA SCHOOL	H	H																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	10	MAPLETON 1	4699	THE NEW AMERICA SCHOOL	A	H																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	10	MAPLETON 1	9036	VALLEY VIEW K-8	E	EM																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	10	MAPLETON 1	9036	VALLEY VIEW K-8	M	EM																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	10	MAPLETON 1	9036	VALLEY VIEW K-8	A	EM																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	20	ADAMS 12 FIVE STAR SCHOOLS	14	GLACIER PEAK ELEMENTARY SCHOOL	E	E																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	20	ADAMS 12 FIVE STAR SCHOOLS	14	GLACIER PEAK ELEMENTARY SCHOOL	A	E																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	20	ADAMS 12 FIVE STAR SCHOOLS	15	ACADEMY OF CHARTER SCHOOLS	H	EMH																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	20	ADAMS 12 FIVE STAR SCHOOLS	15	ACADEMY OF CHARTER SCHOOLS	E	EMH																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	20	ADAMS 12 FIVE STAR SCHOOLS	15	ACADEMY OF CHARTER SCHOOLS	A	EMH																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	20	ADAMS 12 FIVE STAR SCHOOLS	15	ACADEMY OF CHARTER SCHOOLS	M	EMH																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	20	ADAMS 12 FIVE STAR SCHOOLS	57	ROCKY TOP MIDDLE SCHOOL	A	M																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	20	ADAMS 12 FIVE STAR SCHOOLS	57	ROCKY TOP MIDDLE SCHOOL	M	M																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	20	ADAMS 12 FIVE STAR SCHOOLS	59	MERIDIAN ELEMENTARY SCHOOL	E	E																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	20	ADAMS 12 FIVE STAR SCHOOLS	59	MERIDIAN ELEMENTARY SCHOOL	A	E																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	20	ADAMS 12 FIVE STAR SCHOOLS	210	VANTAGE POINT	A	EMH																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	20	ADAMS 12 FIVE STAR SCHOOLS	210	VANTAGE POINT	H	EMH																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	20	ADAMS 12 FIVE STAR SCHOOLS	210	VANTAGE POINT	M	EMH																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	20	ADAMS 12 FIVE STAR SCHOOLS	210	VANTAGE POINT	E	EMH																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	20	ADAMS 12 FIVE STAR SCHOOLS	301	ARAPAHOE RIDGE ELEMENTARY SCHOOL	E	E																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	20	ADAMS 12 FIVE STAR SCHOOLS	301	ARAPAHOE RIDGE ELEMENTARY SCHOOL	A	E																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	20	ADAMS 12 FIVE STAR SCHOOLS	1388	CENTENNIAL ELEMENTARY SCHOOL	A	E																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	20	ADAMS 12 FIVE STAR SCHOOLS	1388	CENTENNIAL ELEMENTARY SCHOOL	E	E																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	20	ADAMS 12 FIVE STAR SCHOOLS	1480	CENTURY MIDDLE SCHOOL	M	M																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	20	ADAMS 12 FIVE STAR SCHOOLS	1480	CENTURY MIDDLE SCHOOL	A	M																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	20	ADAMS 12 FIVE STAR SCHOOLS	1519	STARGATE CHARTER SCHOOL	A	EM																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	20	ADAMS 12 FIVE STAR SCHOOLS	1519	STARGATE CHARTER SCHOOL	E	EM																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	20	ADAMS 12 FIVE STAR SCHOOLS	1519	STARGATE CHARTER SCHOOL	M	EM																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
